id,genres,country,title,year,language,actors,director,writers
14765,"['Crime', 'Drama', 'Thriller']",France,The Last Deadly Mission,2007,French,"[('Daniel Auteuil', 2, 0), ('Olivia Bonamy', 1, 0), ('Catherine Marchal', 0, 0), ('Francis Renaud', 2, 0), ('Gérald Laroche', 2, 0), ('Guy Lecluyse', 2, 0), ('Philippe Nahon', 2, 0), ('Moussa Maaskri', 2, 0), ('Jean-Paul Zehnacker', 0, 0), ('Clément Michu', 0, 0), ('Louise Monot', 0, 0)]","[('Olivier Marchal', 2, 0)]",[]
27721,['Drama'],Turkey,In Bar,2007,English,"[('Nejat İşler', 0, 0), ('Melis Birkan', 0, 0), ('Çağan Irmak', 0, 0), ('Erdal Besikçioglu', 2, 0)]","[('Serdar Akar', 0, 0)]",[]
98567,['Action'],Hong Kong,Chinese Zodiac,2012,Unknown language [cn],"[('Jackie Chan', 2, 0), ('Yao Xing-Tong', 0, 0), ('Kwon Sang-Woo', 0, 0), ('Zhang Lan-Xin', 0, 0), ('廖凡', 2, 0), ('Laura Weissbecker', 0, 0), ('Rosario Amedeo', 0, 0), ('Vincent Sze', 0, 0), ('Oliver Platt', 2, 0), ('Aventurina King', 1, 0), ('Jonathan Lee Yat-Sing', 2, 0), ('Alaa Safi', 0, 0), ('Caitlin Dechelle', 0, 0), ('Chen Bolin', 0, 0), ('Bai Bing', 0, 0), ('Wang Qingxiang', 0, 0), ('Shu Qi', 1, 0), ('Daniel Wu', 2, 0), ('Ken Lo', 2, 0), ('Joan Lin Feng-Chiao', 0, 0), ('Steve Yoo', 2, 0)]","[('Jackie Chan', 2, 0)]","[('Jackie Chan', 2, 0), ('Stanley Tong', 2, 0), ('Edward Tang', 0, 0), ('Frankie Chan Fan-Kei', 2, 0)]"
338227,['Comedy'],Russia,Women vs. Men,2015,Russian,"[('Roman Yunusov', 2, 0), ('Aleksandr Golovin', 0, 0), ('Natalya Rudova', 0, 0), ('Tair Mamedov', 0, 0)]","[('Tair Mamedov', 0, 0)]","[('Tair Mamedov', 0, 0), ('Leonid Margolin', 0, 0), ('Sergey Nezhdanov', 0, 0)]"
217648,['Comedy'],Italy,Padri e figli,1957,Italian,"[('Vittorio De Sica', 2, 0), ('Marcello Mastroianni', 2, 0), ('Marisa Merlini', 0, 0), ('Antonella Lualdi', 1, 0), ('Lorella De Luca', 0, 0), ('Memmo Carotenuto', 2, 0), ('Raffaele Pisu', 0, 0), ('Riccardo Garrone', 0, 0), ('Franco Di Trocchio', 0, 0)]","[('Mario Monicelli', 0, 0)]",[]
272255,['Comedy'],United States of America,The Dude Goes West,1948,English,"[('Eddie Albert', 2, 0), ('Gale Storm', 1, 0), ('James Gleason', 2, 0), ('Barton MacLane', 2, 0), ('Gilbert Roland', 0, 0), ('Binnie Barnes', 1, 0), ('Douglas Fowley', 0, 0), ('Tom Tyler', 2, 0), ('Harry Hayden', 2, 0), ('Sarah Padden', 1, 0), ('Catherine Doucet', 0, 0), ('Olin Howland', 0, 0), ('Francis Pierlot', 2, 0)]","[('Kurt Neumann', 2, 0)]",[]
60025,['Comedy'],France,"I, Cesar",2003,French,"[('Jules Sitruk', 0, 0), ('Joséphine Berry', 0, 0), ('Mabô Kouyaté', 0, 0), ('Anna Karina', 1, 0)]","[('Richard Berry', 2, 0)]","[('Eric Assous', 2, 0), ('Richard Berry', 2, 0)]"
2029,['Comedy'],France,Tanguy,2001,English,"[('Eric Berger', 2, 0), ('Sabine Azéma', 2, 0), ('André Dussollier', 2, 0), ('Hélène Duc', 0, 0), ('Aurore Clément', 1, 0), ('Jean-Paul Rouve', 0, 0), ('André Wilms', 2, 0), ('Richard Guedj', 0, 0), ('Roger Van Hool', 2, 0), ('Nathalie Krebs', 0, 0), ('Delphine Sérina', 0, 0), ('Sachi Kawamata', 0, 0), ('Annelise Hesme', 1, 0), ('Jacques Boudet', 2, 0), ('Philippe Laudenbach', 2, 0)]","[('Étienne Chatiliez', 2, 0)]",[]
238636,['Thriller'],France,The Purge: Anarchy,2014,English,"[('Frank Grillo', 2, 0), ('Carmen Ejogo', 1, 0), ('Zach Gilford', 2, 0), ('Kiele Sanchez', 1, 0), ('Zoë Borde', 1, 0), ('Justina Machado', 1, 0), ('John Beasley', 2, 0), ('Jack Conley', 2, 0), ('Noel Gugliemi', 2, 0), ('Castulo Guerra', 2, 0), ('Michael Kenneth Williams', 2, 0), ('Edwin Hodge', 2, 0), ('Keith Stanfield', 2, 0), ('Roberta Valderrama', 0, 0), ('Nicholas Gonzalez', 2, 0), ('Niko Nicotera', 2, 0), ('Judith McConnell', 1, 0), ('Chad Morgan', 0, 0), ('Bel Hernandez', 1, 0), ('Lily Knight', 1, 0), ('Jasper Cole', 2, 0), ('Brandon Keener', 2, 0), ('Wiley B. Oscar', 2, 0), ('Amy Price-Francis', 1, 0), ('Vick Sabitjian', 2, 0), ('Adrian Sparks', 0, 0), ('Roger Schueller', 0, 0), ('Matt Lasky', 2, 0), ('Rowan Alexander', 1, 0), ('Brad Drake', 2, 0), ('Dale Dye', 2, 0), ('Carla Jimenez', 1, 0), ('Amy Paffrath', 1, 0), ('Rick Chambers', 0, 0), ('Branton Box', 2, 0), ('Brennan Feonix', 2, 0), ('Jeremy Fitzgerald', 2, 0), ('Chris Gann', 2, 0), ('Tammie Baird', 1, 0), ('Alina Andrei', 0, 0), ('Cortney Palm', 1, 0)]","[('James DeMonaco', 2, 0)]","[('James DeMonaco', 2, 0)]"
59146,['Drama'],China,The Wooden Man's Bride,1994,English,"[('Gu Bao-Ming', 0, 0), ('Mingjun Kao', 0, 0), ('Lan Wang', 0, 0), ('Yumei Wang', 0, 0), ('Fuli Wang', 0, 0)]","[('Huang Jianxin', 0, 0)]","[('Zhengguang Yang', 0, 0)]"
